,       "28nm C2D M3D", "28nm C2D F2F", "14/16nm C2D M3D",  "14/16nm C2D F2F",  "7nm C2D M3D",  "7nm C2D F2F"
0.5,    10.3,   8.3,    9.7,     7.5,   9.3,     3.9
0.6,    9.1,    8.5,    11.4,    10.3,  9.7,     5.3
0.7,    8.8,    10.1,   14.3,    12.8,  11.1,    2.6
0.8,    8.3,    7.5,    14.7,    14.0,  12.3,    5.5
0.9,    14.5,   11.7,   18.3,    16.1,  12.3,    2.3
1.0,    13.4,   11.8,   18.1,    17.7,  13.0,    6.6
1.1,    15.3,   12.5,   19.7,    19.7,  15.9,    7.4
1.2,        ,       ,       ,        ,  17.1,   13.5
